System,Teff,err,err.1,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup.1,errdn.1,loggA,errup.2,errdn.2,rho_A,errup.3,errdn.3,Period,e,errup.4,errdown,a(AU),errup.5,errdown.1,M_b,errup.6,errdn.4,R_b,errup.7,errdn.5,g_b,errup.8,errdn.6,rho_b,errup.9,errdn.7,Teq,err.2,err.3,Discovery_reference,Recent_reference,Rp_Rs,a_Rs,host_star,has_pdcsap,n_sectors,sector_list,pl_name,hostname,tic_id,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_orbeccen,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,ttv_flag,st_teff,st_logg,st_rad,discoverymethod,nea_match_type
KELT-09,9329,118,118,0.14,0.3,0.3,2.26,0.03,0.03,2.28,0.03,0.03,4.037,0.038,0.04,0.164,0.018,0.018,1.481,0.0,0.035,0.0,0.03368,0.00078,0.00078,2.22,0.58,0.58,1.82,0.03,0.03,19.0,2.5,2.4,0.37,0.054,0.05,3921.0,182.0,174.0,2017Natur.546..514G,arXiv:2601.20849,0.7982456140350879,3.1764380427271663,KELT-09,True,6,"[14, 15, 41, 55, 75, 82]",KELT-9 b,KELT-9,TIC 16740101,86.79,0.25,-0.25,0.08228,0.00043,-0.00043,3.153,0.011,-0.011,0.0,2457095.68572,0.00014,-0.00014,3.91584,0.01152,-0.01152,0.177,0.014,-0.014,0.677,0.0,10170.0,4.093,2.362,Transit,host_single
Kepler-1514b,6145,99,80,0.119,0.08,0.075,1.196,0.065,0.063,1.289,0.027,0.026,4.295,0.019,0.019,0.558,0.029,0.028,217.832,0.401,0.013,0.014,0.753,0.013,0.014,5.28,0.22,0.22,1.108,0.023,0.023,106.7,4.3,4.1,3.63,0.2,0.19,379.0,6.0,5.0,2016ApJ...822...86M,2021AJ....161..103D,0.8595810705973624,125.61607281039886,Kepler-1514b,True,8,"[40, 41, 54, 55, 74, 75, 81, 82]",Kepler-1514 b,Kepler-1514,TIC 137685450,89.944,0.013,-0.01,0.08835,0.00014,-0.00015,125.6,2.2,-2.2,0.401,2455071.81411,0.00046,-0.00046,21.32688,0.01848,-0.01872,0.169,0.03,-0.039,0.7805,0.0,6145.0,4.295,1.289,Transit,planet_name
WASP-019,5460,90,90,0.14,0.11,0.11,0.935,0.041,0.041,1.018,0.015,0.015,4.3932,0.0066,0.0066,0.8853,0.006,0.006,0.789,0.00172,0.00035,0.00033,0.01634,0.00024,0.00024,1.139,0.036,0.036,1.41,0.021,0.021,14.21,0.18,0.18,0.38,0.0079,0.0079,2077.0,34.0,34.0,2010ApJ...708..224H,2024A+A...684A..78B,1.3850687622789783,3.45149641866268,WASP-019,True,7,"[9, 36, 62, 63, 89, 90, 99]",WASP-19 b,WASP-19,TIC 35516889,79.08,0.34,-0.37,0.1441,0.00049,-0.0005,3.533,0.048,-0.052,0.0126,2456402.7128,0.0017,-0.0014,1.607,0.007,-0.007,0.6671,0.0087,-0.0091,2.077,0.0,5616.0,4.417,1.006,Transit,host_single
Kepler-423,5560,80,80,-0.1,0.05,0.05,0.85,0.04,0.04,0.95,0.04,0.04,4.41,0.04,0.04,0.991,0.068,0.068,2.684,0.019,0.028,0.014,0.03585,0.00052,0.00114,0.595,0.081,0.081,1.192,0.052,0.052,-1.0,-1.0,-1.0,0.346,0.063,0.063,1605.0,120.0,120.0,2015A+A...576A..11G,2015A+A...576A..11G,1.2547368421052632,8.114629726729374,Kepler-423,True,7,"[40, 41, 54, 55, 74, 75, 81]",Kepler-423 b,Kepler-423,TIC 63452790,87.828,0.126,-0.126,0.12599,0.00024,-0.00024,8.106,0.117,-0.259,0.019,2454966.35480997,2.124e-05,-2.124e-05,2.722,0.0019,-0.0019,0.3006,0.01,-0.01,1.5872,0.0,5560.0,4.41,0.95,Transit,host_single
Kepler-077,5520,60,60,0.2,0.05,0.05,0.95,0.04,0.04,0.99,0.02,0.02,4.42,0.01,0.01,0.967,0.016,0.016,3.579,0.0,0.21,0.0,0.04501,0.00063,0.00063,0.43,0.032,0.032,0.96,0.016,0.016,-1.0,-1.0,-1.0,0.455,0.041,0.041,1440.0,100.0,120.0,2013A+A...557A..74G,2013A+A...557A..74G,0.9696969696969696,9.776355178002753,Kepler-077,True,7,"[40, 41, 54, 55, 74, 75, 81]",Kepler-77 b,Kepler-77,TIC 159098316,88.0,0.11,-0.11,0.09924,0.00026,-0.00026,9.764,0.055,-0.055,0.0,2455095.865727,2.9e-05,-2.9e-05,2.93376,0.00336,-0.00336,0.341,0.017,-0.017,0.9849,0.0,5520.0,4.42,0.99,Transit,host_single
TOI-2154,6280,160,160,0.011,0.071,0.059,1.233,0.077,0.09,1.396,0.049,0.043,4.239,0.042,0.051,0.453,0.06,0.062,3.824,0.12,0.1,0.07,0.0513,0.0011,0.0013,0.92,0.19,0.18,1.453,0.053,0.048,10.8,2.4,2.2,0.279,0.069,0.061,1580.0,27.0,27.0,2023MNRAS.521.2765R,2023MNRAS.521.2765R,1.0408309455587397,7.901964963297329,TOI-2154,True,7,"[40, 52, 53, 59, 60, 79, 86]",TOI-2154 b,TOI-2154,TIC 428787891,83.37,0.55,-0.75,0.10693,0.00095,-0.0009,7.91,0.33,-0.37,0.117,2459148.60166,0.0011,-0.00072,2.465,0.024,-0.024,0.8636,0.0071,-0.0082,1.143,0.0,6280.0,4.239,1.396,Transit,host_single
TOI-2152,6630,300,290,0.282,0.075,0.079,1.516,0.085,0.1,1.612,0.056,0.051,4.205,0.038,0.048,0.362,0.044,0.046,3.377,0.057,0.068,0.04,0.0506,0.0009,0.0011,2.83,0.38,0.37,1.281,0.05,0.046,42.7,6.9,6.5,1.26,0.23,0.22,1802.0,60.0,54.0,2023MNRAS.521.2765R,2023MNRAS.521.2765R,0.7946650124069478,6.749764682660399,TOI-2152,True,7,"[58, 59, 73, 78, 79, 85, 86]",TOI-2152 A b,TOI-2152,TIC 395393265,86.42,1.4,-0.85,0.0816,0.0012,-0.0012,6.76,0.26,-0.31,0.057,2458927.6498,0.00023,-0.00023,3.715,0.041,-0.038,0.415,0.098,-0.18,0.666,0.0,6630.0,4.205,1.612,Transit,host_single
TOI-169,5880,54,79,0.24,0.09,0.09,1.147,0.069,0.075,1.288,0.02,0.019,4.278,0.029,0.033,0.536,0.043,0.043,2.255,0.0,0.12,0.0,0.03524,0.00069,0.00079,0.791,0.064,0.06,1.086,0.081,0.048,16.6,2.6,2.8,0.57,0.11,0.13,1715.0,22.0,20.0,2020A+A...639A..76N,2020A+A...639A..76N,0.8431677018633541,5.88332973811356,TOI-169,True,6,"[13, 27, 28, 67, 68, 95]",TOI-169 b,TOI-169,TIC 183120439,80.98,0.31,-0.38,0.0866,0.0056,-0.0031,5.88,0.15,-0.16,0.0,2458327.44174,0.00065,-0.00066,1.7064,0.0288,-0.0288,0.9221,0.014,-0.0098,0.75,0.0,5880.0,4.278,1.288,Transit,host_single
HATS-06,3770,100,100,0.2,0.091,0.091,0.574,0.02,0.027,0.57,0.011,0.011,4.683,0.01,0.01,3.09,0.11,0.11,3.325,0.0,0.113,0.0,0.03623,0.00042,0.00057,0.319,0.07,0.07,0.998,0.019,0.019,7.9,2.5,1.9,0.301,0.067,0.067,713.0,5.0,5.0,2015AJ....149..166H,2015AJ....149..166H,1.7508771929824565,13.667737563896107,HATS-06,True,5,"[6, 32, 33, 87, 98]",HATS-6 b,HATS-6,TIC 33521996,88.21,0.084,-0.084,0.17978,0.00077,-0.00077,13.65,0.15,-0.15,0.0,2456643.74058,8.4e-05,-8.4e-05,2.04096,0.0108,-0.0108,0.427,0.02,-0.021,3.23,0.0,3724.0,4.683,0.57,Transit,host_single
K2-115,5544,60,60,-0.23,0.04,0.04,0.831,0.023,0.019,0.881,0.049,0.05,4.461,0.057,0.041,1.01,0.31,0.2,20.273,0.137,0.072,0.074,0.1367,0.0012,0.001,0.84,0.18,0.2,1.115,0.057,0.061,-1.0,-1.0,-1.0,0.62,0.23,0.18,682.0,22.0,24.0,2017AJ....154..188S,2017AJ....154..188S,1.2656072644721907,33.36535569481587,K2-115,True,6,"[7, 34, 45, 46, 71, 72]",K2-115 b,K2-115,TIC 7020254,88.912,0.057,-0.075,0.12659,0.00075,-0.00084,35.62,0.91,-1.1,0.063,2457522.07014,0.00017,-0.00017,3.8736,0.0264,-0.0264,0.655,0.018,-0.021,1.603,0.0,5870.0,4.538,0.855,Transit,host_single
Kepler-1654,5597,95,93,-0.088,0.097,0.095,1.011,0.056,0.052,1.179,0.026,0.023,4.3,0.01,0.012,0.621,0.011,0.023,1047.836,-1.0,-1.0,-1.0,2.026,0.037,0.035,-1.0,-1.0,-1.0,0.819,0.019,0.017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,206.0,4.0,4.0,2018AJ....155..158B,2018AJ....155..158B,0.6946564885496183,369.5122059338286,Kepler-1654,True,6,"[40, 41, 53, 54, 74, 75]",Kepler-1654 b,Kepler-1654,TIC 123417316,89.982,0.012,-0.017,0.07138,0.00033,-0.00032,370.3,2.2,-4.7,0.26,2455375.1341,0.0014,-0.0015,22.992,0.084,-0.0936,0.114,0.11,-0.079,0.5096,0.0,5597.0,4.3001,1.179,Transit,host_single
HAT-P-12,4665,45,45,-0.2,0.09,0.09,0.691,0.023,0.023,0.679,0.013,0.013,4.614,0.012,0.012,2.205,0.077,0.077,3.213,0.0,-1.0,-1.0,0.03767,0.00063,0.00063,0.201,0.012,0.012,0.919,0.023,0.023,5.89,0.34,0.34,0.242,0.017,0.017,955.0,11.0,11.0,2009ApJ...706..785H,2018A+A...613A..41M,1.353460972017673,11.929685615921386,HAT-P-12,True,5,"[23, 49, 50, 76, 77]",HAT-P-12 b,HAT-P-12,TIC 198108326,89.0,0.4,-0.4,0.1406,0.0013,-0.0013,11.77,0.15,-0.21,0.0,2454419.19556,0.0002,-0.0002,2.3376,0.0144,-0.0144,0.211,0.066,-0.078,1.977,0.0,4650.0,4.61,0.701,Transit,host_single
TOI-1518,7300,100,100,-0.1,0.12,0.12,1.79,0.26,0.26,1.95,0.048,0.048,4.1,0.2,0.2,-1.0,-1.0,-1.0,1.903,0.0,0.01,0.0,0.0389,0.0011,0.0011,0.0,2.3,0.0,1.875,0.053,0.053,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2492.0,38.0,38.0,2021AJ....162..218C,2021AJ....162..218C,0.9615384615384616,4.289613296874927,TOI-1518,True,5,"[57, 58, 77, 84, 85]",TOI-1518 b,TOI-1518,TIC 427761355,77.626,0.097,-0.097,0.09939,0.0005,-0.00051,4.109,0.021,-0.02,,2459983.791942,6.6e-05,-6.6e-05,2.395,0.0082,-0.0079,0.8806,0.0025,-0.0027,0.988,0.0,7299.0,4.136,1.942,Transit,host_single
KELT-18,6670,120,120,0.09,0.13,0.13,1.524,0.069,0.068,1.908,0.042,0.035,4.06,0.01,0.014,0.22,0.005,0.01,2.872,0.0,0.27,0.0,0.0455,0.00067,0.00069,1.18,0.11,0.11,1.57,0.042,0.036,11.8,1.1,1.1,0.284,0.03,0.03,2085.0,39.0,38.0,2017AJ....153..263M,2017AJ....153..263M,0.8228511530398324,5.127860230840083,KELT-18,True,5,"[23, 48, 50, 75, 77]",KELT-18 b,KELT-18,TIC 293687315,88.86,0.79,-1.2,0.08462,0.00091,-0.00091,5.138,0.038,-0.078,0.0,2457542.52504,0.00039,-0.00039,4.644,0.0264,-0.024,0.102,0.1,-0.071,0.716,0.0,6670.0,4.0599,1.908,Transit,host_single
KELT-17,7454,49,49,-0.018,0.074,0.072,1.635,0.066,0.061,1.645,0.06,0.055,4.22,0.022,0.024,0.367,0.032,0.03,3.08,0.0,0.39,0.0,0.04881,0.00065,0.00061,1.31,0.28,0.29,1.507,0.055,0.055,13.9,3.2,3.1,0.35,0.09,0.08,2087.0,32.0,33.0,2016AJ....152..136Z,2022MNRAS.513.2822G,0.9161094224924012,6.380372848937064,KELT-17,True,5,"[44, 45, 46, 71, 72]",KELT-17 b,KELT-17,TIC 6893917,84.87,0.45,-0.43,0.09526,0.00088,-0.00085,6.38,0.18,-0.18,,2457226.142194,0.00033,-0.00033,3.4752,0.0336,-0.0312,0.57,0.031,-0.035,0.907,0.0,7454.0,4.22,1.645,Transit,host_single
